station,lat,lon,oxygen,dens,depth,sal,temp,nitrate,phosphate,silicate,NO2,NH4
15,16.074541,-108.050282,1.194,1030.32397,700,34.5356,6.4347,39.59,3.28,73.7,0,0.03
15,16.074541,-108.050282,1.307,1030.89099,800,34.5291,5.6185,42.92,3.36,82.7,0,0
15,16.074541,-108.050282,6.919,1031.93103,1000,34.535,4.704,45.69,3.39,98.2,0,0
15,16.074541,-108.050282,42.89,1034.44495,1500,34.5844,3.1565,44.47,3.23,128.2,0,0
16,21.844346,-114.650792,224.77699,1024.18005,10,34.2269,20.123,0.13,0.36,1.625,0,0.18
16,21.844346,-114.650792,224.53101,1024.21106,20,34.219,20.1471,0.08,0.34,1.625,0,0.09
16,21.844346,-114.650792,224.05299,1024.32104,40,34.2272,20.0883,0.09,0.34,1.32,0,0.1
16,21.844346,-114.650792,201.16701,1025.11304,80,33.7854,16.2944,4.02,0.79,4.773,0.38,0.08
16,21.844346,-114.650792,116.645,1025.78894,100,33.9579,14.1728,10.96,1.18,9.546,0.07,0.03
16,21.844346,-114.650792,61.074,1026.42896,125,34.2541,12.7226,21.67,1.98,20.413,0,0.04
16,21.844346,-114.650792,41.331,1026.82898,150,34.3821,11.7557,24.8,2.28,27.928,0,0.34
16,21.844346,-114.650792,31.223,1027.02795,170,34.4501,11.4356,25.4,2.42,31.076,0,0
16,21.844346,-114.650792,24.101,1027.271,200,34.4815,10.9934,26.71,2.58,34.833,0,0.06
16,21.844346,-114.650792,4.332,1027.98096,300,34.5515,9.8322,28.38,2.81,43.669,0,0.11
16,21.844346,-114.650792,2.573,1028.625,400,34.5098,8.5187,32.52,2.95,52.098,0,0.11
16,21.844346,-114.650792,2.141,1029.22302,500,34.4907,7.502,36.44,3.09,64.9,0,0.07
16,21.844346,-114.650792,2.273,1029.79199,600,34.4837,6.6984,39.05,3.21,65.503,0,0.07
16,21.844346,-114.650792,3.551,1030.35803,700,34.4796,5.9058,41.61,3.26,83.3,0,0.01
16,21.844346,-114.650792,3.643,1030.90405,800,34.4981,5.3557,43.42,3.33,92,0,0.04
16,21.844346,-114.650792,10.113,1031.93604,1000,34.5118,4.5415,45.14,3.37,107.8,0,0.04
16,21.844346,-114.650792,41.073,1034.44104,1500,34.5727,3.1274,44.33,3.2,138.4,0,0.1
17,25.08161,-118.100971,226.06,1024.14502,10,33.9086,19.3374,39.49,3.11,75,0,0.04
17,25.08161,-118.100971,227.073,1024.19678,20,33.9053,19.296,41.4,3.17,84.1,0,0
17,25.08161,-118.100971,226.34599,1024.29541,40,33.9584,19.4165,43.81,3.25,105.9,0,0
17,25.08161,-118.100971,232.55901,1024.42957,60,33.7853,18.6838,44.66,3.26,118.2,0,0
17,25.08161,-118.100971,239.049,1024.70508,95,33.1428,15.9432,39.38,2.94,141.8,0,0
17,25.08161,-118.100971,220.17599,1025.15369,100,33.3419,14.8946,38.33,2.7,157.1,0.04,0.07
17,25.08161,-118.100971,171.438,1026.03906,125,33.5868,12.0676,40.15,2.84,164.7,0,0
17,25.08161,-118.100971,151.384,1026.40039,150,33.7231,11.289,40.36,2.83,167.3,0,0
17,25.08161,-118.100971,145.552,1026.83411,175,33.9133,10.3705,39.83,2.76,169.4,0,0
17,25.08161,-118.100971,135.884,1027.10254,200,33.9983,9.8547,39.14,2.7,170.7,0,0
17,25.08161,-118.100971,33.793,1027.96545,300,34.3759,9.1953,39.05,2.69,173,0,0.04
17,25.08161,-118.100971,18.016,1028.59631,400,34.3418,7.932,27.8,2.09,154.2,0,0
17,25.08161,-118.100971,8.035,1029.23535,500,34.3971,7.0321,37.52,3.08,67.6,0,0
17,25.08161,-118.100971,6.893,1029.82605,600,34.4106,6.2067,39.74,3.17,76.4,0,0.02
17,25.08161,-118.100971,11.456,1030.92737,800,34.444,5.0528,41.75,3.23,87.4,0,0
17,25.08161,-118.100971,18.916,1031.99036,1000,34.4946,4.2794,44.24,3.26,107.4,0,0.02
17,25.08161,-118.100971,44.379,1034.52112,1500,34.5767,3.0021,44.41,3.25,125.9,0,0
17,25.08161,-118.100971,78.341,1036.95825,2000,34.6258,2.1901,43.17,3.1,148,0,0.05
17,25.08161,-118.100971,93.715,1038.38062,2300,34.6445,1.9176,40.86,2.87,163.3,0,0
17,25.08161,-118.100971,100.365,1039.30884,2500,34.6523,1.8198,40.37,2.83,165.2,0,0.02
17,25.08161,-118.100971,114.273,1041.61035,3000,34.6636,1.6398,39.48,2.75,168.2,0,0
17,25.08161,-118.100971,122.56,1043.86914,3500,34.67,1.5729,38.9,2.7,170.9,0,0
17,25.08161,-118.100971,123.61,1044.98425,3750,34.6706,1.5877,38.85,2.69,170.4,0,0.03
17,25.08161,-118.100971,123.152,1045.24023,3808,34.6708,1.5929,38.68,2.63,171.4,0,0
18,31.08341,-120.232,242.231,1024.29846,10,33.0896,16.1031,39.49,3.11,75,0,0.04
18,31.08341,-120.232,245.12199,1024.40625,21,33.075,15.7864,41.4,3.17,84.1,0,0
18,31.08341,-120.232,256.59799,1024.63062,40,33.0285,14.9417,43.81,3.25,105.9,0,0
18,31.08341,-120.232,247.756,1024.9906,60,33.0865,13.8946,44.66,3.26,118.2,0,0
18,31.08341,-120.232,212.7,1025.63232,95,33.2137,11.927,39.38,2.94,141.8,0,0
18,31.08341,-120.232,199.209,1025.80969,100,33.3165,11.5575,38.33,2.7,157.1,0.04,0.07
18,31.08341,-120.232,168.535,1026.23376,125,33.5096,10.6892,40.15,2.84,164.7,0,0
18,31.08341,-120.232,123.37,1026.69971,150,33.8303,10.1006,40.36,2.83,167.3,0,0
18,31.08341,-120.232,112.374,1026.94849,175,33.9306,9.7858,39.83,2.76,169.4,0,0
18,31.08341,-120.232,102.842,1027.16663,200,34.0118,9.5425,39.14,2.7,170.7,0,0
18,31.08341,-120.232,39.979,1028.00916,300,34.2353,8.2251,39.05,2.69,173,0,0.04
18,31.08341,-120.232,20.094,1028.64417,400,34.2898,7.3562,27.8,2.09,154.2,0,0
